borough	leggi_year	domestic_coal	domestic_electricity	domestic_gas	domestic_oil	domestic_total	industrial_and_commercial_coal	industrial_and_commercial_electricity_w_o_rail	industrial_and_commercial_gas	industrial_and_commercial_oil	industrial_and_commercial_total	industrial_and_commercial_waste_and_renewables	total_total	transport_aviation	transport_railways_diesel	transport_railways_electric	transport_road_transport	transport_shipping	transport_total	gss
Barnet	2014	1.625642412	284.447901	416.3930652	2.308923421	704.775532	0.045003936	253.3227933	105.4421964	10.98093579	375.3138183	5.52288884	1515.496044	0.226836457	5.419713617	35.63287682	394.1272664	0	435.4066932	E09000003
Barnet	2015	1.729313856	242.089762	381.096035	2.326951386	627.2420623	1.36986356	168.5205918	98.91499379	14.15601237	289.1686515	6.207190028	1334.648772	0.226900298	5.419713617	30.94937874	381.6420656	0	418.2380582	E09000003
Barnet	2012	1.270082178	317.2644494	437.9875678	2.381024205	758.9031236	0.999105853	223.6853607	106.7064076	9.896207974	341.2870821	0	1522.533535	0.22499158	6.499300709	41.39932148	374.2197153	0	422.3433291	E09000003
Barnet	2013	1.512736832	316.543736	445.7369589	2.275396727	766.0688285	0.07319051	219.1744604	109.8382054	9.990452343	339.0763086	0	1529.647306	0.22734169	7.298304538	43.79374853	373.1827747	0	424.5021694	E09000003
Barnet	2016	1.563673217	191.5801075	397.8717253	2.354584598	593.3700907	0.699460768	151.0108074	96.61622238	15.9717737	246.1860666	6.678843962	1264.96225	0.220187498	5.489783514	24.79104159	394.9050804	0	425.406093	E09000003
Bexley	2013	1.381288653	193.6438903	253.4095907	1.580261696	450.0150314	0.18290637	184.6417551	146.4581866	36.42759011	371.7251752	4.014736989	1029.746778	7.998026899	1.269901041	14.74351397	183.45089	0.544239365	208.0065713	E09000004
Bexley	2014	1.996791137	176.042107	211.7634452	1.611104936	391.4134483	0.06940581	212.6053675	126.9549096	38.08257538	388.702698	10.99043969	996.2038311	8.230594259	0.881898399	9.302661613	193.1111904	4.561340067	216.0876848	E09000004
Bexley	2011	1.159296194	195.2370068	227.4229944	1.608887455	425.4281849	0.877053539	170.5569393	136.32484	32.16579578	343.4495045	3.524875971	977.6154975	7.579761456	1.149897478	18.00746379	181.4564459	0.544239365	208.737808	E09000004
Bexley	2012	1.119729771	194.4181903	251.51675	1.625040943	448.679711	0.947869656	182.2544807	142.4013907	26.9930616	356.1216786	3.524875971	1013.539198	7.579761456	1.149897478	18.00746379	181.4564459	0.544239365	208.737808	E09000004
Bexley	2017	2.270269251	103.10438	236.435353	1.529736181	343.3397384	0.194221124	109.4815631	136.5859019	27.82425338	280.7302655	12.38550835	831.6900351	7.910570611	0.819501204	5.741182376	190.7408223	2.407954716	207.6200312	E09000004
Bexley	2015	2.125623878	148.5410055	219.5026159	1.623988211	371.7932335	0.323399248	148.5278361	124.8441596	24.81818425	310.5515914	12.03801219	890.9833765	9.283398489	0.881898399	7.95918767	185.822843	4.691223898	208.6385515	E09000004
Bexley	2010	1.250298967	211.0928616	280.7204517	1.673501409	494.7371137	1.036209973	194.0296359	150.131376	33.5603749	382.2824728	3.524875971	1085.757394	7.579761456	1.149897478	18.00746379	181.4564459	0.544239365	208.737808	E09000004
Bexley	2016	1.921701436	116.5314236	224.7924343	1.643477292	344.8890366	0.210010497	117.8066818	127.9017658	28.17824356	280.1791039	12.44263019	834.5505414	8.218379719	0.788039351	6.360228005	191.6789406	2.436813201	209.4824009	E09000004
Brent	2017	1.332322336	117.7367344	290.9512722	1.301404611	411.3217335	0	209.4851073	97.3538947	23.7192042	307.6008931	4.838983048	970.3545448	0.308673711	8.315634932	27.79629618	215.0113134	0	251.4319182	E09000005
Brent	2012	0.728022183	217.3212732	307.3835519	1.37627722	526.8091245	0	341.7701495	104.3902016	22.97467702	469.1350281	0	1274.811453	0.322564002	8.774775882	69.09936524	200.670595	0	278.8673001	E09000005
Brent	2013	0.889346264	215.5688854	314.3361043	1.3603112	532.1546472	0.009632687	351.9443144	112.9502526	18.33814332	483.242343	0	1283.038404	0.337662503	9.992877076	58.47252164	198.8383529	0	267.6414141	E09000005
